Q,A,label
CTF 리그의 팀 조회는 어디서 해야해?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
CTF 리그 팀 점수는 어디서 봐야 해?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
CTF의 모든 팀 점수는 어디서 봐야 해?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
CTF 모든 팀의 등수는 어디서 봐야 해?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
CTF 팀 등록은 어떻게 해야해?,진행 중인 리그에서 팀 생성을 하고 비밀번호를 정하세요! 그리고 팀원에게 비밀번호를 알려주면 들어올 수 있습니다.,3
CTF 팀 참가는 어떻게 해야해?,진행 중인 리그에서 팀 참가를 누르고 참가하길 원하는 팀의 이름과 비밀번호를 입력해 참가하세요!,3
CTF 문제는 어디서 봐?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
CTF 문제는 어디서 풀어?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
유사문제를 추천 받는 방법을 알려줄래?,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
수준에 맞는 문제를 추천 받는 방법을 알고 싶어,마이페이지 코딩 뱃지 확인에서 문제를 추천 받을 수 있습니다.,3
유사문제 조회하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사문제 확인하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
내가 푼 문제와 유사문제 알고싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사 문제 어디서 확인해,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사 문제 조회하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사 문제 확인하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
내가 푼 문제와 유사 문제 알고싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사 문제 어디서 확인해,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사한 문제 조회하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사한 문제 확인하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
내가 푼 문제와 유사한 문제 알고싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
유사한 문제 어디서 확인해,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
비슷한 문제 조회하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
비슷한 문제 확인하고 싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
내가 푼 문제와 비슷한 문제 알고싶어,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
비슷한 문제 어디서 확인해,문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
